7025 [Thread-2] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.newRover_zion-mainframe-1503538201536-aafe08bd], Consumer space.exploration.mars.newRover_zion-mainframe-1503538201536-aafe08bd selected partitions : earth_to_curiosity_1:0: fetched offset = 1692: consumed offset = 1692
7027 [Thread-2] INFO  kafka.consumer.ZookeeperConsumerConnector  - [space.exploration.mars.newRover_zion-mainframe-1503538201536-aafe08bd], end rebalancing consumer space.exploration.mars.newRover_zion-mainframe-1503538201536-aafe08bd try #0
7030 [space.exploration.mars.newRover_zion-mainframe-1503538201536-aafe08bd-leader-finder-thread] INFO  kafka.consumer.ConsumerFetcherManager$LeaderFinderThread  - [space.exploration.mars.newRover_zion-mainframe-1503538201536-aafe08bd-leader-finder-thread], Starting 
7046 [space.exploration.mars.newRover_zion-mainframe-1503538201536-aafe08bd-leader-finder-thread] INFO  kafka.utils.VerifiableProperties  - Verifying properties
7046 [space.exploration.mars.newRover_zion-mainframe-1503538201536-aafe08bd-leader-finder-thread] INFO  kafka.utils.VerifiableProperties  - Property client.id is overridden to space.exploration.mars.newRover
7046 [space.exploration.mars.newRover_zion-mainframe-1503538201536-aafe08bd-leader-finder-thread] INFO  kafka.utils.VerifiableProperties  - Property metadata.broker.list is overridden to zion-mainframe:9092
7046 [space.exploration.mars.newRover_zion-mainframe-1503538201536-aafe08bd-leader-finder-thread] INFO  kafka.utils.VerifiableProperties  - Property request.timeout.ms is overridden to 30000
7084 [space.exploration.mars.newRover_zion-mainframe-1503538201536-aafe08bd-leader-finder-thread] INFO  kafka.client.ClientUtils$  - Fetching metadata from broker BrokerEndPoint(0,zion-mainframe,9092) with correlation id 0 for 1 topic(s) Set(earth_to_curiosity_1)
7091 [space.exploration.mars.newRover_zion-mainframe-1503538201536-aafe08bd-leader-finder-thread] INFO  kafka.producer.SyncProducer  - Connected to zion-mainframe:9092 for producing
7106 [space.exploration.mars.newRover_zion-mainframe-1503538201536-aafe08bd-leader-finder-thread] INFO  kafka.producer.SyncProducer  - Disconnecting from zion-mainframe:9092
7143 [ConsumerFetcherThread-space.exploration.mars.newRover_zion-mainframe-1503538201536-aafe08bd-0-0] INFO  kafka.consumer.ConsumerFetcherThread  - [ConsumerFetcherThread-space.exploration.mars.newRover_zion-mainframe-1503538201536-aafe08bd-0-0], Starting 
7150 [space.exploration.mars.newRover_zion-mainframe-1503538201536-aafe08bd-leader-finder-thread] INFO  kafka.consumer.ConsumerFetcherManager  - [ConsumerFetcherManager-1503538201571] Added fetcher for partitions ArrayBuffer([[earth_to_curiosity_1,0], initOffset 1692 to broker BrokerEndPoint(0,zion-mainframe,9092)] )
7771 [main] INFO  space.exploration.mars.rover.communication.Radio  - Radio configured:: 
metadata.broker.list::localhost:9092
source.topic::earth_to_curiosity_1
auto.offset.reset::largest
group.id::space.exploration.mars.newRover
destination.topic::curiosity_to_earth_1
zookeeper.connect::localhost:2181
8772 [main] INFO  space.exploration.mars.rover.sensor.Radar  - Radar configured:: 
15446 [pool-2-thread-1] INFO  space.exploration.mars.rover.power.BatteryMonitor  - BatteryMonitor performing due diligence. SCET = 1503538210250 Rover state = Transmitting State
28406 [main] INFO  kafka.client.ClientUtils$  - Fetching metadata from broker BrokerEndPoint(0,localhost,9092) with correlation id 0 for 1 topic(s) Set(curiosity_to_earth_1)
28407 [main] INFO  kafka.producer.SyncProducer  - Connected to localhost:9092 for producing
28410 [main] INFO  kafka.producer.SyncProducer  - Disconnecting from localhost:9092
28435 [main] INFO  kafka.producer.SyncProducer  - Connected to zion-mainframe:9092 for producing
