Designation,Discovery Date YYYY-MM-DD,H (mag),MOID (AU),q (AU),Q (AU),period (yr),i (deg),PHA,Orbit Class
(2010 MZ112),06/23/2010,19.8,0.221,0.49,3.06,2.36,30.18,N,Apollo
(2010 MY112),06/23/2010,21,0.156,0.8,1.33,1.1,38.49,N,Apollo
(2010 MU112),06/30/2010,20.7,0.0002,0.81,2.71,2.33,48.02,Y,Apollo
(2010 MU111),06/23/2010,18.7,0.059,0.92,3.86,3.7,41.53,N,Apollo
(2010 MR87),06/22/2010,19.5,0.15,1.06,2.41,2.28,34.98,N,Amor
(2010 LU134),06/14/2010,19.5,0.146,0.86,2.93,2.61,27.39,N,Apollo
(2010 LV108),06/14/2010,22.6,0.006,1.01,4.55,4.64,5.43,N,Apollo
(2010 LU108),06/15/2010,20,0.126,0.41,4.08,3.35,9.51,N,Apollo
(2010 LT108),06/13/2010,19.7,0.138,0.85,1.85,1.57,31.87,N,Apollo
(2010 LO97),06/13/2010,18.7,0.233,1.22,3.94,4.14,21.65,N,Amor
(2010 LF86),06/11/2010,17.2,0.318,1.3,3.51,3.73,13.55,N,Amor
(2010 LR68),06/08/2010,18.3,0.216,1.19,4.88,5.29,4.58,N,Amor
(2010 LL68),06/12/2010,22.9,0.139,0.98,3.16,2.99,10.48,N,Apollo
(2010 LK68),06/12/2010,22.5,0.025,0.61,1.73,1.27,22.08,N,Apollo
(2010 LJ68),06/11/2010,22.7,0.031,0.97,2.54,2.32,17.01,N,Apollo
(2010 LG64),06/05/2010,20.2,0.043,1.04,4.3,4.36,42.28,Y,Amor
(2010 LF64),06/03/2010,21.6,0.192,1.13,1.59,1.59,18.54,N,Amor
(2010 LJ61),06/08/2010,20.9,0.054,0.57,1.59,1.12,10.24,N,Apollo
(2010 LQ33),06/04/2010,19.3,0.228,1.23,3.31,3.42,24.63,N,Amor
(2010 LM14),06/02/2010,21.5,0.312,0.69,1.53,1.17,25.92,N,Apollo
(2010 LH14),06/02/2010,22,0.054,0.93,3.46,3.26,4.66,N,Apollo
C/2010 L5 (WISE),06/14/2010,,0.114,0.79,15.64,23.56,147.05,n/a,Halley-type Comet*
C/2010 L4 (WISE),06/15/2010,,2.53,2.83,157.36,716.78,102.82,n/a,Comet
245P/WISE,06/02/2010,,1.172,2.14,5.88,8.04,21.09,n/a,Jupiter-family Comet
(2010 KY127),05/31/2010,17,0.703,0.3,4.7,3.95,60.29,N,Apollo
(2010 KK127),05/21/2010,20.7,0.282,1.28,3.18,3.33,6.94,N,Amor
(2010 KZ117),05/18/2010,19.2,0.166,1.1,3.43,3.42,33.17,N,Amor
(2010 KB61),05/26/2010,20.5,0.051,0.98,1.57,1.44,44.6,N,Apollo
(2010 KY39),05/18/2010,20.1,0.303,1.05,2.43,2.3,25.51,N,Amor
